Number,Questions,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Points
1,Which of the following is not a fundamental data type in C++?,A) int,B) float,C) double,D) string,D,1
2,Which keyword is used to define a class in C++?,A) struct,B) class,C) object,D) define,B,1
3,What is the size of an int variable in C++ (assuming a 32-bit system)?,A) 2bytes,B) 4bytes,C) 8 bytes,D) 16 bytes ,B,1
4,What is the correct way to overload the '<<' operator in C++?,"A) ostream& operator<<(ostream& os, const MyClass& obj)","B) ostream& operator<<(const MyClass& obj, ostream& os)","C) ostream& operator<<(MyClass& obj, ostream& os)",D) ostream& operator<<(const MyClass& obj),A,1
5,Which of the following is used to define a function in C++?,A) function,B) func,C) def,D) none of the above,D,1
6,Which header file is required to use the std::vector container?,A) <vector.h>,B) <array>,C) <vector>,D) <list>,C,1
7,Which of the following is a valid constructor for a class named MyClass?,A) MyClass(),B) MyClass(void),C) MyClass(int a),D) all of the above,D,1
8,"Which data structure uses FIFO (First In, First Out) principle?",A) stack,B) queue,C) Linked List,D) Tree,B,1
9,What is the worst-case time complexity of binary search?,A) O(n),B) O(log n),C) O(n log n),D) O(n^2),B,1
10,"In a binary tree, the number of leaf nodes is always one more than the number of nodes with two children.",A) True,B) False,C) -,D) -,A,1
11,Which of the following data structures is not linear?,A) Array,B) Linked List,C) Binary Tree,D) Stack,C,1
12,Which of the following sorting algorithms has the best average-case time complexity?,A) Bubble Sort,B) Selection Sort,C) Quick Sort,D) Insertion Sort,C,1
13,What data structure is used in the implementation of a recursion?,A) Queue,B) Stack,C) Linked List,D) Tree,B,1
14,Which of the following operations is performed more efficiently by doubly linked list than by singly linked list?,A) Searching of an unsorted list for a given item,B) Deletion of a node whose location in given,C) Inverting a node after the node with a given location,D) Traversing a list to process each node,B,1
15,What is the height of a balanced binary search tree with n nodes?,A) O(n) ,B) O(n log n),C) O(log n),D) O(1),C,1
16,Which traversal technique is used in Depth-First Search (DFS)?,A) Inorder,B) Preorder,C) Postorder,D) All of the above,D,1
17,What is the main disadvantage of a linked list over an array?,A) Random access is not allowed,B) It is not easy to insert and delete elements,C) Extra memory space for a pointer is required with each element,D) Both A and C,D,1
18,Which of the following correctly defines an inline function in C++?,A) inline void func();,B) void inline func();,C) inline void func (){},D) void func() inline;,C,1
19,Which of the following is not a valid scope in C++?,A) Local,B) Global,C) Namespace,D) File,D,1
20,Which of the following is the correct syntax to declare a pointer in C++?,A) int ptr*;,B) int *ptr;,C) int ptr;,D) *int ptr;,B,1
21,Which feature of OOP indicates code reusability?,A) Encapsulation,B) Inheritance,C) Polymorphism,D) Abstract,B,1
22,What is a destructor in C++?,A) A function called when an object is created,B) A function called when an object is destroyed,C) A function called when memory is allocated,D) A function called to initialize an object,B,1
23,What is the purpose of the 'this' pointer in C++?,A) To point to the object that invoked the member function,B) To point to the base class of an object,C) To point to the next object in an array,D) To point to a global variable,A,1
24,Which of the following is a valid way to declare an array in C++?,"A) int arr[] = {1, 2, 3};","B) int arr[3] = {1, 2, 3};",C) int arr[3];,D) All of the above,D,1
25,"Which data structure uses LIFO (Last In, First Out) principle?",A) Stack,B) Queue,C) Linked List,D) Tree,A,1
